Client Reference Number,Months as Client,Service Tier,Monthly Retainer Fee,Primary Practice Area,Case Load Estimate,Number of Matters Filed,Preferred Contact Method,Has Dedicated Attorney,Average Response Time Hours,Referral Source,Billing Dispute Count,Uses Client Portal,Estimated Lifetime Client Value,Left Firm
VLS-00467,45,Premier Retainer,1924.79,Real Estate,7,1,Email,No,4.2,Referral,2,No,168923.62,No
VLS-00468,21,Signature Retainer,5144.02,Litigation,0,4,Phone,No,12.7,Referral,0,No,199203.49,No
VLS-00469,44,Basic Retainer,770.17,Corporate,2,0,Email,No,0.5,Repeat Client,0,Yes,32309.33,No
VLS-00470,73,Premier Retainer,2135.74,Corporate,5,1,Client Portal,No,2.8,Referral,0,No,116073.26,No
VLS-00471,18,Premier Retainer,2195.4,Family,1,0,Email,No,8.0,Referral,0,Yes,48355.68,No
VLS-00472,63,Premier Retainer,1864.72,Estate Planning,1,0,Phone,Yes,17.8,Referral,0,Yes,88703.45,No
VLS-00473,62,Basic Retainer,640.86,Corporate,1,1,Email,No,10.0,Web Search,0,Yes,59564.7,No
VLS-00474,75,Basic Retainer,936.91,Estate Planning,1,1,Email,No,8.6,Referral,0,Yes,84044.4,Yes
VLS-00475,25,Basic Retainer,996.0,Estate Planning,2,1,Email,No,15.2,Repeat Client,0,Yes,82469.59,No
VLS-00476,18,Basic Retainer,844.15,Family,1,3,Client Portal,No,11.5,Web Search,0,No,29798.84,No
VLS-00477,46,Premier Retainer,2062.49,Litigation,4,2,Phone,No,2.1,Repeat Client,1,Yes,59051.84,No
VLS-00478,45,Premier Retainer,1916.97,Litigation,1,1,Phone,Yes,9.5,Web Search,0,Yes,68958.72,No
VLS-00479,34,Premier Retainer,2789.9,Real Estate,1,0,Email,No,6.9,Web Search,0,Yes,41235.07,No
VLS-00480,66,Premier Retainer,2073.08,Family,2,0,Email,No,8.4,Referral,0,Yes,52166.23,No
VLS-00481,67,Premier Retainer,2563.57,Litigation,0,0,Email,No,6.7,Referral,0,No,180329.08,No
VLS-00482,20,Basic Retainer,595.09,Litigation,5,0,Client Portal,No,9.6,Repeat Client,0,No,6875.48,No
VLS-00483,67,Premier Retainer,2041.31,Litigation,3,4,Email,No,13.0,Advertisement,0,No,286528.45,No
VLS-00484,19,Basic Retainer,941.78,Estate Planning,1,0,Email,Yes,3.3,Web Search,0,No,30496.93,Yes
VLS-00485,34,Basic Retainer,634.21,Family,1,1,Phone,Yes,5.7,Repeat Client,0,Yes,20618.23,No
VLS-00486,2,Premier Retainer,2177.79,Litigation,2,3,Phone,No,14.9,Repeat Client,0,Yes,4528.32,Yes
VLS-00487,28,Premier Retainer,1703.59,Estate Planning,4,1,Email,No,16.2,Referral,0,No,93483.03,Yes
VLS-00488,81,Basic Retainer,890.14,Corporate,4,0,Email,No,23.9,Web Search,0,No,156541.77,Yes
VLS-00489,37,Premier Retainer,1965.88,Corporate,5,0,Email,Yes,10.1,Advertisement,1,No,48926.8,No
VLS-00490,60,Premier Retainer,2163.16,Family,4,0,Phone,Yes,5.4,Repeat Client,1,No,80929.74,No
VLS-00491,9,Premier Retainer,2575.8,Litigation,4,1,Email,No,5.8,Referral,0,No,20743.6,No
VLS-00492,54,Premier Retainer,2166.59,Family,1,0,Phone,No,9.9,Referral,0,Yes,141542.41,No
VLS-00493,31,Premier Retainer,2515.12,Litigation,2,2,Email,No,4.7,Web Search,0,Yes,62022.31,No
VLS-00494,63,Basic Retainer,734.63,Corporate,4,1,Client Portal,No,22.8,Referral,0,No,56886.0,No
VLS-00495,78,Signature Retainer,6244.73,Family,4,2,Client Portal,Yes,6.7,Referral,0,No,1172741.64,No
VLS-00496,45,Premier Retainer,2292.22,Real Estate,3,1,Email,Yes,20.8,Web Search,0,No,55061.86,No
VLS-00497,8,Premier Retainer,2588.22,Corporate,5,0,Email,Yes,4.2,Web Search,0,No,17407.63,No
VLS-00498,40,Premier Retainer,2082.29,Estate Planning,3,1,Email,No,8.4,Referral,1,Yes,44790.73,Yes
VLS-00499,10,Basic Retainer,699.22,Corporate,3,0,Client Portal,No,7.5,Web Search,0,Yes,4523.83,Yes
VLS-00500,38,Premier Retainer,2817.07,Estate Planning,3,2,Phone,Yes,2.9,Referral,0,No,95521.26,No
VLS-00501,5,Premier Retainer,1954.38,Corporate,2,0,Phone,No,7.9,Referral,2,No,7628.5,No
VLS-00502,54,Signature Retainer,5753.72,Estate Planning,1,2,Email,Yes,11.4,Advertisement,0,No,393367.32,No
VLS-00503,26,Signature Retainer,3472.81,Real Estate,2,0,Email,Yes,1.2,Repeat Client,0,No,97566.72,No
VLS-00504,17,Premier Retainer,1870.06,Corporate,3,1,Phone,No,13.8,Referral,0,No,37262.16,Yes
VLS-00505,1,Premier Retainer,1736.98,Corporate,2,0,Phone,Yes,12.1,Repeat Client,1,Yes,2352.66,No
VLS-00506,75,Signature Retainer,5794.75,Corporate,3,1,Client Portal,Yes,9.4,Repeat Client,1,Yes,395494.59,No
VLS-00507,71,Basic Retainer,792.55,Real Estate,4,2,Client Portal,No,15.7,Web Search,1,Yes,48803.22,Yes
VLS-00508,68,Signature Retainer,5455.48,Litigation,2,3,Phone,Yes,16.4,Repeat Client,0,Yes,333017.07,No
VLS-00509,4,Premier Retainer,2799.31,Family,0,0,Phone,No,44.4,Referral,0,No,14092.59,Yes
VLS-00510,29,Basic Retainer,826.17,Family,0,0,Client Portal,No,2.8,Referral,0,Yes,9814.55,Yes
VLS-00511,82,Basic Retainer,766.25,Real Estate,1,1,Client Portal,Yes,25.0,Repeat Client,1,No,72391.36,Yes
VLS-00512,49,Signature Retainer,3718.29,Real Estate,5,0,Client Portal,No,18.4,Web Search,1,Yes,123598.25,No
VLS-00513,10,Basic Retainer,926.53,Litigation,7,1,Client Portal,Yes,12.1,Referral,0,No,9080.16,No
VLS-00514,11,Basic Retainer,792.01,Family,1,3,Email,No,4.2,Referral,0,Yes,4903.47,Yes
VLS-00515,22,Basic Retainer,977.42,Litigation,0,2,Phone,No,7.1,Referral,0,No,17798.98,No
VLS-00516,82,Basic Retainer,886.55,Estate Planning,1,2,Phone,Yes,6.3,Referral,1,Yes,83481.51,No
VLS-00517,14,Basic Retainer,759.32,Family,1,1,Email,No,8.8,Referral,0,No,13626.98,No
VLS-00518,76,Premier Retainer,2345.83,Corporate,3,0,Phone,No,15.3,Repeat Client,0,Yes,104182.49,No
VLS-00519,57,Basic Retainer,737.43,Corporate,0,2,Email,No,22.0,Referral,1,No,51199.1,No
VLS-00520,78,Signature Retainer,4587.76,Real Estate,0,2,Email,Yes,29.7,Repeat Client,1,No,599027.41,No
VLS-00521,70,Signature Retainer,5566.87,Family,4,4,Email,Yes,7.1,Referral,0,No,313581.45,No
VLS-00522,28,Basic Retainer,635.83,Estate Planning,1,1,Phone,No,10.8,Referral,0,No,18601.55,No
VLS-00523,70,Basic Retainer,887.8,Real Estate,3,0,Phone,No,4.9,Repeat Client,1,Yes,24346.27,Yes
VLS-00524,14,Premier Retainer,1999.76,Real Estate,0,1,Phone,No,19.0,Referral,2,Yes,18756.48,Yes
VLS-00525,24,Basic Retainer,803.9,Litigation,1,2,Email,Yes,12.7,Referral,1,Yes,22956.22,No
VLS-00526,18,Basic Retainer,541.61,Corporate,1,2,Phone,No,8.2,Repeat Client,0,Yes,15382.33,No
VLS-00527,11,Signature Retainer,5185.3,Litigation,1,2,Email,Yes,2.6,Referral,0,Yes,45161.15,No
VLS-00528,7,Signature Retainer,3883.63,Corporate,4,1,Email,Yes,10.9,Referral,0,No,90786.61,No
VLS-00529,15,Premier Retainer,2474.71,Real Estate,0,2,Email,No,11.7,Repeat Client,1,No,43502.95,Yes
VLS-00530,10,Basic Retainer,780.36,Estate Planning,3,1,Client Portal,No,1.9,Web Search,2,Yes,4610.51,No
VLS-00531,32,Premier Retainer,2306.31,Litigation,2,3,Email,No,3.4,Web Search,0,No,132501.22,Yes
VLS-00532,6,Premier Retainer,2689.84,Litigation,2,0,Phone,No,10.7,Referral,0,No,10259.91,No
VLS-00533,5,Basic Retainer,732.87,Family,1,0,Client Portal,Yes,28.0,Referral,0,Yes,4917.73,No
VLS-00534,84,Premier Retainer,1635.65,Litigation,2,0,Email,No,20.3,Web Search,0,No,89889.98,Yes
VLS-00535,7,Basic Retainer,1054.84,Real Estate,2,1,Client Portal,No,8.3,Advertisement,1,No,4275.86,No
VLS-00536,6,Basic Retainer,628.64,Real Estate,0,2,Email,Yes,7.4,Referral,0,No,7234.0,No
VLS-00537,2,Premier Retainer,2020.39,Corporate,1,1,Email,No,5.6,Repeat Client,1,No,4167.2,No
VLS-00538,11,Basic Retainer,662.62,Corporate,4,2,Email,Yes,5.1,Advertisement,2,Yes,16863.37,No
VLS-00539,44,Basic Retainer,994.3,Real Estate,3,1,Phone,No,7.9,Web Search,0,Yes,27477.96,No
VLS-00540,70,Signature Retainer,5227.52,Corporate,3,0,Client Portal,No,33.4,Web Search,1,No,180690.1,Yes
VLS-00541,62,Signature Retainer,3303.75,Litigation,3,1,Phone,Yes,7.4,Web Search,0,Yes,165530.25,No
VLS-00542,49,Premier Retainer,1961.24,Litigation,3,0,Phone,No,9.6,Advertisement,0,Yes,352692.16,No
VLS-00543,7,Signature Retainer,4644.02,Estate Planning,3,1,Email,No,3.6,Referral,0,Yes,47439.0,No
VLS-00544,65,Signature Retainer,5596.57,Corporate,2,0,Client Portal,No,14.1,Repeat Client,0,No,467678.96,No
VLS-00545,3,Basic Retainer,1026.38,Estate Planning,4,0,Email,No,9.5,Web Search,0,Yes,3248.26,Yes
VLS-00546,53,Premier Retainer,1507.9,Corporate,1,0,Email,No,7.1,Repeat Client,1,No,64404.05,No
VLS-00547,34,Basic Retainer,753.15,Family,0,1,Client Portal,Yes,4.4,Repeat Client,2,No,88204.21,Yes
VLS-00548,74,Basic Retainer,767.83,Litigation,1,2,Email,Yes,5.3,Referral,1,Yes,71187.0,Yes
VLS-00549,26,Premier Retainer,2418.1,Corporate,1,1,Email,Yes,6.7,Referral,0,Yes,74901.81,No
VLS-00550,54,Premier Retainer,2018.88,Corporate,1,1,Email,No,7.1,Web Search,2,No,170461.89,No
VLS-00551,37,Premier Retainer,2321.89,Corporate,3,1,Email,No,4.3,Web Search,1,No,49083.82,No
VLS-00552,44,Basic Retainer,930.11,Real Estate,6,3,Client Portal,No,8.9,Repeat Client,1,No,28039.89,No
VLS-00553,79,Basic Retainer,547.48,Litigation,3,0,Email,No,11.1,Referral,0,No,39374.61,Yes
VLS-00554,60,Signature Retainer,4812.88,Corporate,0,2,Client Portal,Yes,15.9,Web Search,1,Yes,452724.1,No
VLS-00555,35,Basic Retainer,608.04,Corporate,4,2,Email,No,27.0,Repeat Client,0,No,12853.04,Yes
VLS-00556,38,Basic Retainer,813.5,Real Estate,3,0,Phone,No,1.9,Repeat Client,1,No,29970.69,Yes
VLS-00557,59,Basic Retainer,1051.49,Corporate,1,1,Phone,No,12.3,Referral,0,No,57081.35,No
VLS-00558,29,Premier Retainer,2807.93,Litigation,2,5,Phone,Yes,7.7,Repeat Client,1,No,41550.01,No
VLS-00559,14,Premier Retainer,1994.03,Estate Planning,1,1,Phone,No,1.4,Referral,0,Yes,21990.95,No
VLS-00560,39,Premier Retainer,1973.65,Litigation,2,1,Phone,No,5.9,Web Search,0,No,99405.47,Yes
VLS-00561,5,Basic Retainer,793.36,Estate Planning,2,1,Phone,No,14.8,Referral,0,No,1726.34,Yes
VLS-00562,14,Basic Retainer,863.12,Real Estate,5,2,Client Portal,No,13.5,Web Search,0,Yes,22968.22,No
VLS-00563,35,Signature Retainer,4450.74,Litigation,8,2,Email,Yes,10.4,Referral,2,No,192702.48,No
VLS-00564,67,Premier Retainer,2135.6,Corporate,2,0,Email,Yes,5.4,Referral,0,Yes,167711.43,No
VLS-00565,66,Premier Retainer,2396.17,Corporate,5,1,Phone,No,22.6,Referral,2,No,158463.6,No
VLS-00566,22,Premier Retainer,1929.99,Real Estate,1,1,Email,No,3.9,Repeat Client,0,No,25850.2,No
VLS-00567,35,Premier Retainer,1910.71,Corporate,4,3,Email,No,7.2,Web Search,0,Yes,50596.83,No
VLS-00568,13,Basic Retainer,997.39,Estate Planning,0,2,Client Portal,No,8.1,Advertisement,0,Yes,15862.48,Yes
VLS-00569,64,Basic Retainer,1123.9,Litigation,3,3,Email,Yes,9.0,Advertisement,0,No,54634.87,Yes
VLS-00570,20,Premier Retainer,2417.16,Estate Planning,2,2,Email,No,37.4,Referral,0,Yes,52633.41,No
VLS-00571,67,Basic Retainer,775.01,Family,1,1,Phone,No,25.6,Referral,2,Yes,35318.24,Yes
VLS-00572,71,Signature Retainer,5422.54,Real Estate,2,0,Email,No,13.2,Referral,0,No,472488.37,No
VLS-00573,58,Premier Retainer,2213.59,Litigation,2,2,Email,No,9.5,Web Search,0,Yes,163606.76,No
VLS-00574,28,Premier Retainer,1486.58,Corporate,2,1,Email,Yes,9.5,Repeat Client,0,No,20348.96,No
VLS-00575,80,Signature Retainer,5482.33,Real Estate,3,4,Email,No,15.5,Referral,0,Yes,453329.14,Yes
VLS-00576,58,Premier Retainer,1732.38,Real Estate,3,0,Email,Yes,19.8,Advertisement,1,Yes,52396.79,No
VLS-00577,54,Signature Retainer,5717.03,Estate Planning,0,0,Client Portal,No,3.8,Repeat Client,1,Yes,132852.16,No
VLS-00578,72,Premier Retainer,2550.37,Litigation,4,2,Email,No,27.2,Repeat Client,0,No,141409.83,No
VLS-00579,74,Signature Retainer,5412.04,Corporate,2,1,Email,No,12.8,Referral,2,No,1410223.7,No
VLS-00580,6,Basic Retainer,847.81,Family,4,0,Phone,No,6.3,Repeat Client,1,Yes,7063.63,No
VLS-00581,74,Premier Retainer,2220.58,Real Estate,3,1,Email,No,8.6,Web Search,1,Yes,307667.9,No
VLS-00582,65,Premier Retainer,1871.34,Corporate,1,3,Email,No,13.2,Web Search,0,No,160684.38,No
VLS-00583,17,Basic Retainer,1086.87,Family,1,2,Email,Yes,13.7,Advertisement,1,No,22047.32,No
VLS-00584,26,Basic Retainer,652.11,Family,1,1,Email,No,4.4,Referral,1,Yes,26045.51,No
VLS-00585,63,Signature Retainer,5556.96,Corporate,0,1,Email,Yes,9.2,Repeat Client,1,Yes,262935.41,No
VLS-00586,18,Premier Retainer,2048.88,Real Estate,1,0,Email,Yes,11.1,Web Search,0,No,46184.8,No
VLS-00587,38,Basic Retainer,983.59,Corporate,2,2,Client Portal,Yes,20.0,Advertisement,0,No,64782.68,Yes
VLS-00588,58,Basic Retainer,717.62,Real Estate,1,0,Client Portal,No,21.4,Repeat Client,0,No,57725.54,Yes
VLS-00589,55,Basic Retainer,863.32,Corporate,4,0,Client Portal,No,3.4,Web Search,0,No,81836.87,Yes
VLS-00590,77,Basic Retainer,818.46,Litigation,4,2,Email,No,9.9,Referral,0,No,68503.73,No
VLS-00591,9,Signature Retainer,5313.04,Corporate,3,1,Phone,Yes,6.0,Referral,0,No,102786.13,No
VLS-00592,25,Premier Retainer,2103.97,Estate Planning,5,2,Phone,No,13.0,Repeat Client,0,No,47638.13,No
VLS-00593,83,Basic Retainer,725.46,Corporate,1,2,Email,No,36.2,Web Search,0,No,156959.17,Yes
VLS-00594,48,Premier Retainer,2320.72,Real Estate,3,0,Client Portal,No,18.5,Repeat Client,0,Yes,143960.74,No
VLS-00595,21,Basic Retainer,722.2,Family,3,0,Phone,No,13.8,Referral,0,No,11709.56,No
VLS-00596,24,Basic Retainer,885.93,Corporate,1,2,Email,No,16.5,Web Search,0,Yes,12796.2,No
VLS-00597,28,Premier Retainer,1692.52,Family,3,0,Client Portal,Yes,24.5,Repeat Client,0,No,34760.73,No
VLS-00598,47,Premier Retainer,1847.72,Litigation,2,3,Email,No,17.4,Advertisement,2,No,56122.37,No
VLS-00599,24,Signature Retainer,4985.87,Estate Planning,3,4,Email,No,4.0,Referral,1,No,115937.51,No
VLS-00600,52,Premier Retainer,2181.89,Family,4,2,Email,Yes,28.5,Referral,1,Yes,65918.82,No
VLS-00601,37,Premier Retainer,2070.05,Corporate,1,2,Email,No,10.6,Repeat Client,0,No,137372.16,No
VLS-00602,51,Premier Retainer,2271.56,Litigation,3,1,Client Portal,No,12.7,Advertisement,0,Yes,122815.62,No
VLS-00603,13,Signature Retainer,4862.66,Real Estate,2,0,Phone,No,21.4,Web Search,1,Yes,64945.01,No
VLS-00604,53,Premier Retainer,1731.15,Corporate,2,1,Email,No,35.1,Web Search,0,No,55137.71,No
VLS-00605,78,Signature Retainer,4633.92,Litigation,3,1,Phone,Yes,7.1,Referral,0,Yes,257334.74,No
VLS-00606,11,Signature Retainer,3951.34,Real Estate,5,2,Client Portal,Yes,20.7,Web Search,1,No,17248.5,No
VLS-00607,27,Signature Retainer,4131.28,Real Estate,2,2,Client Portal,Yes,6.8,Referral,1,No,231595.09,No
VLS-00608,58,Basic Retainer,979.42,Family,2,1,Client Portal,No,12.0,Referral,1,No,29743.58,Yes
VLS-00609,52,Premier Retainer,2207.14,Family,2,1,Client Portal,No,2.9,Repeat Client,0,No,61870.47,No
VLS-00610,57,Premier Retainer,2427.48,Corporate,2,0,Phone,Yes,6.8,Referral,0,Yes,262510.17,No
VLS-00611,47,Premier Retainer,2246.05,Litigation,4,0,Email,No,11.6,Repeat Client,0,No,125891.65,Yes
VLS-00612,58,Premier Retainer,2141.73,Corporate,0,1,Client Portal,Yes,14.3,Web Search,0,Yes,132271.78,Yes
VLS-00613,51,Signature Retainer,4602.59,Litigation,4,2,Email,No,13.8,Referral,0,No,273877.0,No
VLS-00614,6,Signature Retainer,4969.02,Litigation,2,0,Email,No,19.0,Referral,0,No,46408.77,No
VLS-00615,63,Basic Retainer,833.13,Litigation,2,1,Email,No,7.6,Referral,0,No,55213.99,No
VLS-00616,37,Premier Retainer,2071.23,Corporate,4,1,Email,No,9.3,Advertisement,0,No,38192.89,No
VLS-00617,4,Premier Retainer,1849.54,Corporate,2,0,Phone,No,9.6,Repeat Client,0,No,10356.19,No
VLS-00618,34,Basic Retainer,859.11,Family,2,0,Client Portal,No,8.0,Advertisement,1,No,36245.18,Yes
VLS-00619,36,Basic Retainer,924.25,Real Estate,2,0,Email,No,5.0,Advertisement,0,No,56650.44,No
VLS-00620,7,Basic Retainer,723.69,Estate Planning,2,1,Phone,Yes,10.6,Repeat Client,0,Yes,3792.13,No
VLS-00621,84,Premier Retainer,2078.4,Family,0,1,Email,No,17.0,Advertisement,1,Yes,125899.36,No
VLS-00622,18,Premier Retainer,2477.91,Estate Planning,2,2,Phone,Yes,12.5,Web Search,1,No,54677.5,No
VLS-00623,28,Signature Retainer,5808.57,Corporate,3,1,Email,No,7.3,Advertisement,0,Yes,106316.39,No
VLS-00624,37,Premier Retainer,2064.29,Family,2,1,Email,No,10.8,Web Search,0,Yes,26444.89,No
VLS-00625,70,Signature Retainer,4770.74,Corporate,4,1,Phone,Yes,7.0,Referral,1,No,366037.71,No
VLS-00626,63,Premier Retainer,1833.06,Litigation,4,3,Phone,No,14.6,Advertisement,0,No,173978.67,No
VLS-00627,65,Signature Retainer,5502.43,Corporate,4,2,Email,Yes,17.4,Advertisement,0,Yes,339113.32,No
VLS-00628,20,Basic Retainer,946.16,Corporate,0,1,Email,No,17.6,Referral,1,Yes,24212.58,No
VLS-00629,71,Premier Retainer,1952.33,Litigation,3,1,Email,Yes,8.6,Repeat Client,1,Yes,167675.53,No
VLS-00630,70,Signature Retainer,5555.52,Real Estate,2,2,Phone,Yes,7.1,Referral,1,Yes,391991.28,No
VLS-00631,39,Signature Retainer,4637.99,Corporate,2,3,Email,Yes,19.0,Advertisement,0,Yes,193889.2,No
VLS-00632,46,Signature Retainer,5216.28,Corporate,1,0,Email,Yes,8.1,Repeat Client,1,No,441350.12,No
VLS-00633,3,Basic Retainer,956.51,Real Estate,1,5,Client Portal,No,10.7,Referral,0,Yes,1809.75,Yes
VLS-00634,64,Basic Retainer,1188.47,Family,0,2,Phone,No,12.4,Repeat Client,0,No,106696.24,Yes
VLS-00635,81,Basic Retainer,801.11,Corporate,4,0,Email,No,10.1,Repeat Client,0,No,38243.26,No
VLS-00636,40,Basic Retainer,790.45,Real Estate,4,2,Phone,Yes,16.0,Advertisement,0,Yes,22987.22,No
VLS-00637,45,Premier Retainer,2160.26,Corporate,2,3,Email,Yes,3.2,Repeat Client,0,No,167212.08,No
VLS-00638,42,Premier Retainer,1987.95,Real Estate,0,1,Email,Yes,13.7,Web Search,0,Yes,49151.24,No
VLS-00639,7,Premier Retainer,2245.59,Family,3,0,Phone,No,5.6,Web Search,0,No,14515.91,No
VLS-00640,52,Signature Retainer,4629.53,Corporate,2,0,Email,Yes,7.5,Advertisement,0,No,697726.44,No
VLS-00641,61,Premier Retainer,2256.85,Corporate,3,0,Email,Yes,11.4,Web Search,0,No,219650.23,No
VLS-00642,78,Signature Retainer,5725.5,Corporate,2,0,Client Portal,No,2.5,Referral,1,Yes,320713.2,No
VLS-00643,79,Basic Retainer,949.97,Corporate,1,1,Phone,No,9.0,Referral,1,Yes,57944.2,No
VLS-00644,41,Basic Retainer,956.48,Family,3,0,Client Portal,No,7.9,Referral,0,Yes,36675.11,No
VLS-00645,81,Premier Retainer,2366.69,Estate Planning,3,3,Client Portal,Yes,9.3,Repeat Client,1,No,347661.25,No
VLS-00646,44,Signature Retainer,5245.09,Litigation,3,0,Email,Yes,7.6,Repeat Client,0,Yes,147892.45,No
VLS-00647,54,Basic Retainer,780.44,Family,0,3,Phone,Yes,10.7,Repeat Client,0,No,27597.17,No
VLS-00648,51,Premier Retainer,2527.07,Real Estate,1,1,Email,Yes,6.8,Referral,0,Yes,179100.77,No
VLS-00649,84,Premier Retainer,2398.76,Real Estate,1,2,Phone,No,9.8,Web Search,0,Yes,94584.88,No
VLS-00650,62,Basic Retainer,797.59,Litigation,4,0,Email,No,11.4,Web Search,0,Yes,33307.94,No
VLS-00651,10,Premier Retainer,1819.73,Corporate,0,0,Email,No,19.4,Referral,0,Yes,17767.99,No
VLS-00652,6,Signature Retainer,3966.66,Family,3,0,Email,Yes,22.2,Web Search,0,No,24341.5,No
VLS-00653,34,Premier Retainer,1828.94,Family,2,2,Phone,No,3.5,Referral,0,Yes,34699.23,No
VLS-00654,43,Basic Retainer,920.35,Corporate,5,1,Email,No,20.4,Repeat Client,0,Yes,46001.38,No
VLS-00655,56,Signature Retainer,4913.07,Family,1,2,Phone,Yes,5.0,Referral,0,No,354044.76,No
VLS-00656,40,Basic Retainer,742.41,Estate Planning,2,4,Client Portal,No,9.9,Repeat Client,1,Yes,22454.02,Yes
VLS-00657,43,Signature Retainer,5953.68,Estate Planning,2,1,Phone,Yes,2.7,Repeat Client,0,No,541771.29,No
VLS-00658,78,Basic Retainer,796.63,Corporate,1,1,Email,Yes,1.6,Advertisement,0,No,74009.21,No
VLS-00659,28,Premier Retainer,2077.27,Family,2,0,Email,No,34.9,Referral,1,No,36563.36,No
VLS-00660,41,Basic Retainer,861.65,Family,3,0,Client Portal,Yes,10.0,Referral,0,Yes,75647.65,No
VLS-00661,47,Basic Retainer,979.47,Real Estate,2,2,Phone,No,8.6,Repeat Client,1,Yes,36437.71,Yes
VLS-00662,39,Signature Retainer,4673.14,Real Estate,5,1,Email,Yes,12.3,Referral,1,No,198771.41,No
VLS-00663,82,Basic Retainer,771.4,Corporate,2,1,Client Portal,No,8.7,Referral,1,No,50992.54,Yes
VLS-00664,81,Basic Retainer,610.49,Litigation,0,0,Email,No,17.2,Repeat Client,0,Yes,65506.0,Yes
VLS-00665,43,Basic Retainer,600.84,Estate Planning,1,3,Email,No,11.8,Advertisement,0,Yes,20986.18,No
VLS-00666,38,Premier Retainer,1964.65,Real Estate,3,2,Email,No,15.5,Advertisement,0,Yes,62616.4,No
VLS-00667,50,Signature Retainer,5113.4,Litigation,4,1,Email,No,5.6,Referral,0,No,237706.96,No
VLS-00668,15,Signature Retainer,5182.12,Real Estate,0,1,Email,Yes,3.1,Web Search,2,Yes,62299.64,No
VLS-00669,36,Basic Retainer,686.28,Family,2,1,Phone,Yes,18.5,Repeat Client,0,No,40594.57,No
VLS-00670,18,Premier Retainer,1758.5,Corporate,5,2,Email,No,12.6,Referral,1,Yes,18982.59,No
VLS-00671,12,Basic Retainer,679.29,Real Estate,3,0,Phone,No,4.0,Referral,0,No,8579.06,No
VLS-00672,8,Premier Retainer,1967.49,Corporate,5,1,Client Portal,Yes,4.0,Referral,0,Yes,16563.27,No
VLS-00673,49,Signature Retainer,4074.36,Litigation,0,2,Client Portal,No,10.9,Web Search,0,Yes,189480.93,No
VLS-00674,0,Premier Retainer,1957.65,Family,0,1,Email,Yes,14.7,Referral,0,Yes,188.13,No
VLS-00675,54,Premier Retainer,1898.45,Family,2,1,Phone,Yes,5.0,Repeat Client,0,Yes,53171.93,No
VLS-00676,36,Basic Retainer,829.9,Family,1,3,Email,No,25.2,Referral,0,No,38572.56,Yes
VLS-00677,31,Signature Retainer,5157.5,Estate Planning,3,4,Phone,Yes,15.9,Referral,0,Yes,93326.32,No
VLS-00678,65,Premier Retainer,2005.26,Corporate,1,5,Email,No,19.3,Repeat Client,0,Yes,104819.47,No
VLS-00679,45,Basic Retainer,695.45,Corporate,1,4,Phone,Yes,10.7,Repeat Client,1,No,19125.4,No
VLS-00680,62,Basic Retainer,758.64,Corporate,4,1,Email,No,10.1,Advertisement,1,Yes,40553.76,No
VLS-00681,60,Basic Retainer,749.37,Real Estate,3,4,Phone,No,3.7,Repeat Client,2,Yes,35295.32,No
VLS-00682,2,Basic Retainer,792.73,Estate Planning,3,0,Email,No,5.7,Referral,0,Yes,2639.14,Yes
VLS-00683,18,Basic Retainer,1021.93,Corporate,0,5,Email,No,9.2,Web Search,0,No,20941.5,No
VLS-00684,48,Premier Retainer,2453.54,Estate Planning,1,2,Phone,Yes,12.9,Referral,0,No,145230.12,No
VLS-00685,82,Premier Retainer,2159.77,Corporate,3,0,Email,Yes,11.4,Web Search,0,Yes,108657.06,No
VLS-00686,13,Basic Retainer,936.05,Real Estate,3,0,Phone,Yes,1.9,Advertisement,1,No,17924.6,No
VLS-00687,8,Premier Retainer,2841.54,Corporate,4,0,Phone,Yes,4.7,Repeat Client,0,Yes,48980.29,No
VLS-00688,79,Signature Retainer,3824.32,Real Estate,3,1,Phone,Yes,11.9,Referral,1,Yes,447373.84,No
VLS-00689,82,Premier Retainer,2151.15,Real Estate,5,1,Phone,No,13.1,Referral,1,No,98244.58,No
VLS-00690,14,Premier Retainer,2012.98,Real Estate,1,2,Phone,No,7.5,Repeat Client,0,No,22699.01,Yes
VLS-00691,34,Basic Retainer,852.1,Corporate,2,0,Client Portal,Yes,15.1,Web Search,0,No,31985.94,Yes
VLS-00692,53,Signature Retainer,4362.06,Litigation,0,4,Email,Yes,14.9,Referral,0,Yes,180173.11,No
VLS-00693,16,Basic Retainer,790.07,Estate Planning,2,1,Phone,No,33.5,Referral,2,Yes,40133.79,No
VLS-00694,27,Basic Retainer,793.68,Family,2,1,Phone,No,10.1,Referral,0,No,17112.97,Yes
VLS-00695,33,Signature Retainer,5553.01,Real Estate,1,1,Email,No,7.3,Web Search,1,No,180871.07,Yes
VLS-00696,54,Premier Retainer,2101.24,Litigation,5,0,Email,No,5.0,Web Search,0,Yes,87508.82,No
VLS-00697,26,Premier Retainer,2176.95,Corporate,5,0,Email,No,3.3,Web Search,0,Yes,63014.02,No
VLS-00698,35,Premier Retainer,2230.58,Estate Planning,8,1,Phone,Yes,14.5,Web Search,1,No,147034.85,No
VLS-00699,24,Premier Retainer,2723.01,Family,5,1,Email,Yes,13.5,Web Search,0,Yes,69762.93,No
VLS-00700,64,Basic Retainer,892.61,Litigation,3,1,Phone,No,3.7,Referral,2,No,51374.56,Yes
