cust_ref,left_us,mo_bill_usd,sex,is_senior,has_partner,has_dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,agreement_type,paperless_billing,payment_method,total_charges
FR-20233-YUFS,No,75.71,Female,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,3196.58
FR-31507-XDXP,Yes,54.37,Male,0,Yes,Yes,35,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,1911.29
FR-49562-FEUC,Yes,66.86,Male,0,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),3433.11
FR-78833-XTXL,No,65.21,Male,0,No,No,11,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),692.99
FR-11469-BXCG,No,53.23,Male,0,Yes,No,57,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),3019.64
FR-82398-QGAN,Yes,95.69,Male,1,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),853.13
FR-47926-TSNC,Yes,18.0,Female,0,No,Yes,56,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,1017.03
FR-75384-EEGA,Yes,20.21,Male,0,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0.0
FR-17710-ESGC,No,79.61,Female,0,No,No,53,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),4203.4
FR-96426-ERMZ,No,89.12,Female,0,No,Yes,56,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,4996.09
FR-48957-UJPS,No,52.08,Male,0,Yes,Yes,54,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,2804.87
FR-11043-ZJAK,No,90.6,Female,0,No,No,44,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,3959.38
FR-40593-JTGR,No,44.5,Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,50.51
FR-81023-VYMA,No,43.43,Male,0,Yes,Yes,65,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,2819.35
FR-96684-SWCW,Yes,74.76,Female,1,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,4316.57
FR-91486-UAAF,No,82.7,Male,1,Yes,No,10,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),829.0
FR-37330-BQZF,Yes,63.83,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,402.68
FR-89730-WHEE,No,112.96,Female,0,No,No,51,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,5747.62
FR-94509-MUGV,Yes,83.53,Female,0,No,No,18,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),1530.28
FR-66767-BMXX,No,18.0,Female,1,Yes,No,31,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,571.7
FR-62555-EDDH,No,65.96,Male,0,No,No,30,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),1977.41
FR-81237-KKSW,No,81.22,Female,1,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,5286.46
FR-72117-SUEB,No,96.02,Female,0,No,Yes,43,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,4108.76
FR-94936-JJTN,No,103.82,Male,0,No,No,11,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),1165.6
FR-39896-PCTC,Yes,79.23,Female,0,Yes,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),794.35
FR-64627-BAGP,Yes,68.26,Male,0,No,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,3413.48
FR-80447-ZBQZ,No,75.18,Male,0,Yes,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,4662.95
FR-39702-JKNB,Yes,71.54,Female,0,Yes,Yes,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,4364.38
FR-80490-TEJF,No,18.0,Male,0,No,No,37,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),665.33
FR-70560-UXXQ,No,80.94,Female,0,Yes,No,26,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,2125.48
FR-62619-LJXS,No,21.21,Male,0,Yes,No,19,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,409.51
FR-35875-XFVU,Yes,120.0,Male,0,No,Yes,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,2391.71
FR-57194-RLUH,No,55.54,Male,0,No,No,57,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,3163.05
FR-53466-BRNV,Yes,78.96,Male,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),5624.46
FR-19530-CAXX,No,86.02,Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,6213.74
FR-84618-XSNK,Yes,90.46,Female,1,No,No,48,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),4322.77
FR-29228-JVUX,No,79.4,Female,1,No,No,34,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,2702.39
FR-75505-GTPW,No,69.43,Female,0,Yes,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,3032.61
FR-92433-SYUE,Yes,120.0,Male,0,Yes,No,13,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,1563.85
FR-55628-JRPT,No,101.91,Male,0,Yes,No,40,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),4066.4
FR-50377-YVHK,Yes,35.28,Female,1,No,Yes,25,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),861.39
FR-77102-SYSH,No,56.14,Female,1,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),300.54
FR-44906-GLBY,Yes,120.0,Female,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1337.01
FR-42223-QSEB,No,18.0,Male,1,No,No,62,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),1104.27
FR-41338-VWTB,No,53.48,Male,0,No,Yes,7,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),381.1
FR-57070-LQXR,Yes,31.24,Male,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,528.88
FR-56890-CELR,No,38.28,Female,1,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),341.71
FR-91640-CJKT,Yes,18.0,Male,1,No,No,67,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1218.61
FR-79261-LHKQ,Yes,82.64,Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,3393.77
FR-85087-HKXZ,No,93.09,Female,0,Yes,No,36,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),3351.23
FR-62581-TXTP,No,69.24,Female,0,No,Yes,31,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,2182.1
FR-50542-RMUJ,No,63.39,Male,0,Yes,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,1710.96
FR-23068-TAFV,Yes,46.33,Female,1,No,No,29,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,1341.51
FR-20419-UMDU,No,96.09,Female,0,No,No,65,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,6217.79
FR-27329-KYQG,Yes,97.14,Male,0,Yes,No,15,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,1491.77
FR-79220-MWXD,No,111.63,Male,0,No,No,63,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),7014.69
FR-91037-SPEB,No,26.17,Female,1,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,1694.62
FR-17763-SCAU,Yes,47.02,Female,0,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),502.18
FR-49027-YJMH,No,61.8,Female,0,No,Yes,31,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,1914.64
FR-93310-VQKF,No,87.73,Female,0,No,No,71,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,6238.62
FR-99757-VVGA,No,55.18,Female,1,No,No,3,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),201.48
FR-75165-XQEF,No,84.81,Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),326.42
FR-22399-LFUG,Yes,18.0,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,58.61
FR-83451-DCSH,No,83.67,Male,1,No,No,19,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,1579.53
FR-11312-ABDX,No,44.13,Female,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1196.78
FR-94177-WGRE,No,28.38,Female,0,No,Yes,38,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),1062.07
FR-38918-LEAQ,No,62.96,Male,1,Yes,Yes,41,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),2584.29
FR-88842-YVZR,Yes,82.02,Female,1,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,501.03
FR-80093-GSTT,Yes,27.47,Male,1,Yes,No,30,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),837.23
FR-72777-GLVS,No,108.41,Female,0,No,Yes,40,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,4348.74
FR-51988-EJFP,No,42.56,Female,0,No,Yes,6,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Electronic check,254.52
FR-48514-XATP,Yes,120.0,Female,0,No,No,40,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,4793.77
FR-71825-DBLT,Yes,31.51,Male,0,No,Yes,50,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1591.74
FR-81654-NAGH,Yes,37.22,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,171.55
FR-51889-JFCA,No,34.8,Male,0,No,Yes,39,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,1339.5
FR-23301-XKTG,No,62.46,Female,0,Yes,Yes,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,310.5
FR-39983-ZRAC,No,99.7,Female,0,No,No,72,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),7169.89
FR-79904-PAUG,No,45.84,Female,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,2755.28
FR-62379-LBLP,No,59.61,Female,1,Yes,No,51,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,3030.98
FR-47885-HLBC,No,47.62,Male,1,Yes,Yes,39,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1860.21
FR-63939-RZRR,No,81.32,Female,0,Yes,No,25,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),2047.89
FR-35792-ZYHB,No,71.41,Female,0,No,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),4258.96
FR-25419-SKYK,Yes,120.0,Female,0,Yes,No,38,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),4551.26
FR-77530-XDUL,No,73.91,Female,0,Yes,No,70,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),5174.27
FR-98115-HYSQ,Yes,78.93,Male,0,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,1566.08
FR-96702-FFZS,Yes,87.84,Female,0,Yes,No,28,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,2466.4
FR-32956-KAGY,No,18.0,Female,0,Yes,No,19,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,325.81
FR-98761-GBVU,No,36.92,Female,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,522.68
FR-95728-PMPA,No,76.36,Male,1,Yes,No,9,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,686.57
FR-84543-QNPT,No,108.49,Male,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),747.44
FR-35027-REQZ,Yes,53.32,Female,0,Yes,No,50,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),2646.15
FR-90518-LBZX,Yes,58.09,Male,1,Yes,No,31,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),1806.3
FR-38236-TUWC,No,50.19,Male,1,Yes,No,32,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Credit card (automatic),1635.14
FR-59780-JCVS,Yes,72.65,Male,0,Yes,No,12,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,883.17
FR-92244-ACAE,No,112.88,Female,0,Yes,Yes,58,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),6557.8
FR-50637-TMQB,Yes,51.25,Female,0,Yes,No,5,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,250.49
FR-18324-SKNT,No,104.39,Male,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),939.77
FR-94682-EYRD,No,18.0,Male,0,Yes,Yes,6,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,93.24
FR-11739-DWSC,No,93.03,Female,0,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),4918.67
FR-34047-LFUJ,Yes,72.11,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,296.64
FR-90421-PBMB,No,58.3,Male,0,Yes,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,3248.01
FR-40733-PMQE,No,90.06,Male,0,No,No,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),5220.77
FR-44883-LEPG,Yes,63.76,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),51.34
FR-40909-BJVR,No,18.0,Male,0,No,No,63,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,1130.63
FR-49424-YUST,No,58.73,Male,0,No,No,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),1395.44
FR-16588-DZAH,No,63.9,Male,0,No,Yes,44,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),2782.06
FR-28836-VGTQ,Yes,56.08,Female,1,Yes,No,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,1071.92
FR-11018-JJHH,No,52.81,Male,0,No,No,29,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,1531.32
FR-19106-ELXY,Yes,51.18,Female,1,Yes,No,15,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),779.71
FR-91788-DXXZ,No,53.53,Female,0,Yes,Yes,38,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),2056.91
FR-48479-CVDR,No,42.23,Female,1,Yes,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,1442.68
FR-33826-MGGA,No,54.88,Male,0,Yes,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,1603.84
FR-27446-STNV,Yes,78.82,Female,0,No,No,46,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,3637.85
FR-99315-MJTK,No,18.0,Female,0,No,Yes,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,548.36
FR-61222-MNHX,No,54.93,Male,0,No,Yes,62,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Mailed check,3393.37
FR-98924-UUPR,Yes,62.36,Female,0,Yes,Yes,5,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,307.47
FR-79100-ANAJ,No,64.84,Male,0,No,No,53,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,3428.29
FR-88177-CLNL,No,29.38,Female,1,Yes,No,33,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),970.39
FR-65967-PFNQ,No,73.81,Female,0,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,2351.52
FR-85305-HSCH,Yes,63.12,Female,0,No,No,13,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,805.54
FR-48437-ZNAR,No,46.27,Female,0,No,No,33,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),1518.61
FR-97584-SLCS,No,40.07,Male,0,No,No,28,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),1108.24
FR-13640-MGTV,No,74.39,Female,0,Yes,No,52,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,3857.12
FR-29598-EXZN,No,18.0,Male,1,Yes,Yes,69,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,1215.94
FR-14872-RYGD,Yes,73.33,Female,0,Yes,No,50,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),3697.21
FR-76359-CLPH,Yes,73.65,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,3596.62
FR-67306-PUFZ,No,18.0,Male,0,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,177.65
FR-57884-JVNQ,No,65.28,Female,0,Yes,No,20,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,1321.02
FR-77674-VBYC,No,30.37,Male,0,No,No,21,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,639.35
FR-77554-XPHX,No,116.58,Male,0,Yes,No,53,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),6164.47
FR-37035-YAJW,No,26.85,Male,0,Yes,Yes,51,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),1385.51
FR-69210-DXFC,No,108.43,Female,0,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,5869.26
FR-91809-PDRW,Yes,56.03,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),741.35
FR-94889-LYUS,Yes,72.88,Male,0,No,Yes,65,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,4750.7
FR-30752-CJXN,No,73.19,Female,1,No,Yes,27,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),1983.69
FR-68493-UNNT,No,18.0,Female,0,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Credit card (automatic),351.59
FR-98311-ETVH,No,47.23,Male,0,No,No,47,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),2234.0
FR-85692-VJFX,No,51.23,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,349.32
FR-56867-AFCT,No,18.0,Male,0,Yes,Yes,22,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,394.85
FR-14424-HRCS,No,57.02,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),2374.45
FR-71145-ZEAV,No,64.95,Male,0,No,No,12,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),801.6
FR-33016-DNTK,No,25.3,Female,0,Yes,Yes,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,1170.56
FR-99502-ZWUR,No,104.83,Male,0,No,No,24,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),2496.86
FR-26916-JVTB,No,37.82,Female,0,Yes,No,44,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,1629.55
FR-41940-WFNC,No,21.75,Female,0,No,Yes,57,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),1241.53
FR-34558-ZRUM,No,94.8,Male,0,Yes,No,11,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,1040.17
FR-96653-QBQQ,No,30.45,Male,0,Yes,Yes,24,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,No,Mailed check,723.33
FR-72998-AMUC,Yes,41.08,Female,0,Yes,No,6,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),251.12
FR-20076-MQGX,No,91.06,Female,0,Yes,Yes,34,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,3110.69
FR-40672-TPLD,No,42.26,Female,0,No,No,43,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,1835.61
FR-79764-KFQM,No,95.49,Male,0,Yes,No,19,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,1835.83
FR-99245-GCLA,Yes,63.52,Female,0,Yes,Yes,42,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,2668.66
FR-16012-JSYC,No,44.3,Male,1,Yes,Yes,39,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,1753.52
FR-35274-XSNU,No,75.22,Male,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,2851.89
FR-46807-NBQC,Yes,43.25,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,696.9
FR-12933-FRJP,Yes,98.07,Female,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),2655.23
FR-83469-ZHPN,No,62.83,Female,0,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,3530.04
FR-60629-EYSP,No,83.59,Male,0,No,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),5834.91
FR-66978-UJQY,No,19.93,Female,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),1168.47
FR-76173-WDRY,No,40.22,Female,0,Yes,No,14,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,572.46
FR-57321-VPCC,No,21.21,Male,0,No,Yes,42,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),869.8
FR-73866-XHYY,Yes,105.57,Female,1,No,No,9,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,952.51
FR-88053-ACCK,Yes,53.03,Male,0,Yes,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),1110.68
FR-23599-JPNX,Yes,33.44,Female,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,329.7
FR-17081-RCCT,No,46.71,Female,0,Yes,No,42,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,1967.96
FR-12023-RDNR,No,39.83,Female,0,No,No,43,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,1707.35
FR-77685-STRV,Yes,115.77,Female,0,No,No,34,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,3928.79
FR-38034-GKLB,Yes,77.73,Male,0,No,No,62,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),4833.53
